task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
Develop protocols to improve existing genetic techniques or to incorporate new diagnostic procedures.,develop protocols to improve existing genetic techniques or to incorporate new diagnostic procedures,19-1029,Geneticists,0.2214934615384615,3.29,96.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Evaluate genetic data by performing appropriate mathematical or statistical calculations and analyses.,evaluate genetic data by performing appropriate mathematical or statistical calculations and analyses,19-1029,Geneticists,0.4571311538461539,4.22,96.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Extract deoxyribonucleic acid (DNA) or perform diagnostic tests involving processes such as gel electrophoresis, Southern blot analysis, and polymerase chain reaction analysis.",extract deoxyribonucleic acid dna or perform diagnostic tests involving processes such as gel electrophoresis southern blot analysis and polymerase chain reaction analysis,19-1029,Geneticists,0.5347869230769231,4.14,95.83,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Maintain laboratory notebooks that record research methods, procedures, and results.",maintain laboratory notebooks that record research methods procedures and results,19-1029,Geneticists,2.136575,4.36,92.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Prepare results of experimental findings for presentation at professional conferences or in scientific journals.,prepare results of experimental findings for presentation at professional conferences or in scientific journals,19-1029,Geneticists,0.1780934615384615,4.38,100.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Search scientific literature to select and modify methods and procedures most appropriate for genetic research goals.,search scientific literature to select and modify methods and procedures most appropriate for genetic research goals,19-1029,Geneticists,0.7005634615384615,4.36,100.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Review, approve, or interpret genetic laboratory results.",review approve or interpret genetic laboratory results,19-1029,Geneticists,0.7397065384615384,4.32,100.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Collaborate with biologists and other professionals to conduct appropriate genetic and biochemical analyses.,collaborate with biologists and other professionals to conduct appropriate genetic and biochemical analyses,19-1029,Geneticists,0.2767234615384615,3.62,100.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Attend clinical and research conferences and read scientific literature to keep abreast of technological advances and current genetic research findings.,attend clinical and research conferences and read scientific literature to keep abreast of technological advances and current genetic research findings,19-1029,Geneticists,0.4421907692307691,4.29,96.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Confer with information technology specialists to develop computer applications for genetic data analysis.,confer with information technology specialists to develop computer applications for genetic data analysis,19-1029,Geneticists,0.1109615384615384,3.29,87.5,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Design and maintain genetics computer databases.,design and maintain genetics computer databases,19-1029,Geneticists,0.2576923076923077,2.95,84.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Evaluate, diagnose, or treat genetic diseases.",evaluate diagnose or treat genetic diseases,19-1029,Geneticists,0.7185626923076923,3.67,60.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Write grant proposals to obtain funding for biological research.,write grant proposals to obtain funding for biological research,19-1029,Biologists,0.6578442307692307,3.77,60.72,19-1029.04,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Participate in the development of endangered species breeding programs or species survival plans.,participate in the development of endangered species breeding programs or species survival plans,19-1029,Geneticists,0.3576923076923077,2.75,48.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Maintain laboratory safety programs and train personnel in laboratory safety techniques.,maintain laboratory safety programs and train personnel in laboratory safety techniques,19-1029,Geneticists,0.1614946153846153,3.5,91.67,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
Conduct family medical studies to evaluate the genetic basis for traits or diseases.,conduct family medical studies to evaluate the genetic basis for traits or diseases,19-1029,Geneticists,0.3058169230769231,3.13,60.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Supervise or direct the work of other geneticists, biologists, technicians, or biometricians working on genetics research projects.",supervise or direct the work of other geneticists biologists technicians or biometricians working on genetics research projects,19-1029,Geneticists,1.1123796153846155,4.48,100.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Plan or conduct basic genomic and biological research related to areas such as regulation of gene expression, protein interactions, metabolic networks, and nucleic acid or protein complexes.",plan or conduct basic genomic and biological research related to areas such as regulation of gene expression protein interactions metabolic networks and nucleic acid or protein complexes,19-1029,Geneticists,0.8598092307692307,4.38,96.0,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Prepare technical and research reports, such as environmental impact reports, and communicate the results to individuals in industry, government, or the general public.",prepare technical and research reports such as environmental impact reports and communicate the results to individuals in industry government or the general public,19-1029,Biologists,0.9270919230769232,4.23,87.73,19-1029.04,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Develop and maintain liaisons and effective working relations with groups and individuals, agencies, and the public to encourage cooperative management strategies or to develop information and interpret findings.",develop and maintain liaisons and effective working relations with groups and individuals agencies and the public to encourage cooperative management strategies or to develop information and interpret findings,19-1029,Biologists,1.378553846153846,4.13,91.31,19-1029.04,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Plan curatorial programs for species collections that include acquisition, distribution, maintenance, or regeneration.",plan curatorial programs for species collections that include acquisition distribution maintenance or regeneration,19-1029,Geneticists,0.0955342307692307,2.5,58.33,19-1029.03,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
"Review reports and proposals, such as those relating to land use classifications and recreational development, for accuracy, adequacy, or adherence to policies, regulations, or scientific standards.",review reports and proposals such as those relating to land use classifications and recreational development for accuracy adequacy or adherence to policies regulations or scientific standards,19-1029,Biologists,0.8667653846153847,3.31,79.28,19-1029.04,59710.0,510.0,19,"Life, Physical, and Social Science Occupations"
